decision,relative_path,ext,chronology_signal_strength,signal_score,internal_signals
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/NOTES PX3 Explainer.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/NOTES PX3 Explainer_cleaned.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (1).docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (2).docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (2).md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1).docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1-FULL-INTEGRATION.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1_intro-lit-review-revised.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 1.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 2.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Algorithmic management in the workplace (EN).pdf,.pdf,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Governance by Denial How Legibility.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Mod.1-Algorythmic Biais ans Surveillance.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Queer_Experiences_of_Religion_How_Marginalization_.pdf,.pdf,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Queer_Methods_and_Methodologies.pdf,.pdf,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Stuttering Machines_ Algorithmic Dysfluency and the Ethics of Interruption.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/mythe_de_sisyphe.pdf,.pdf,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1).docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_cleaned.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_completed_9000_clean.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_completed_clean.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_cleaned.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_completed_9000_clean.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_completed_clean.docx,.docx,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/AI GOV CONSTITUTION (1).pdf,.pdf,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP VOCAB.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY voice CODE.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/Henry.txt,.txt,low,0,
take-into-timeline,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/README.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/01_Project_Brief.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/03_Concept_Note_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/04_Research_Blueprint_and_Deviation_Memo.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/07_Stabilizer_QA_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/08_Incident_and_Drift_Protocol.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/09_Field_Map_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/10_Method_SOP_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/11_Governance_Findings_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/12_Decision_Document_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/13_Public_Translation_Package.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/14_Twelve_Agent_QA_Note.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/15_Executive_Facing_Summary.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/16_Operator_Runbook.md,.md,low,0,
take-into-timeline,RECURSO/METAMETADATA/ai_governance_deliverables_package/MASTER_KEY.odt,.odt,low,0,
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/00_STRUCTURE_MAP.md,.md,high,28,content_phase:Layer 0 | content_phase:Layer 1 | content_phase:Layer 2 | content_phase:Layer 3 | content_phase:Layer 4 | content_phase:Layer 5 | content_phase:Layer 6 | content_phase:Layer 7 | content_phase:Layer 8 | content_phase:Layer 9 | content_phase:Layer 10 | content_phase:Layer 11 | content_phase:Layer 12 | content_phase:Layer 13
supporting-context,SCRIPTS/Paper outcomes RESTART-4 TESTS/runner/restart4-corrected-runner-v2-0d39e54855/parallel_script_recalibration.md,.md,high,22,path_phase:v2 | content_phase:v2 | content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:v1
supporting-context,SCRIPTS/Paper outcomes RESTART TESTS/kingmalek/restart-kingmalek-00297d4e97/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART TESTS/runner/restart-runner-00297d4e97/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART-2 TESTS/runner/restart2-runner-6eed7729eb/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART-2/ANTHRO-SALOMON/SALOMON.composite-reference.py.txt,.txt,high,16,content_phase:pass_0 | content_phase:Pass 0 | content_phase:pass_1 | content_phase:Pass 1 | content_phase:pass_2 | content_phase:Pass 2 | content_phase:pass_3 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART-2/GEM-MALEK-PHENIX/parallel_runs/kingmalek/kingmalek-md-readme-zip-afaf0136e9/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-3 TESTS/runner/restart3-runner-34adc61c1a/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART-3/ANTHRO-SALOMON/SALOMON.composite-reference.py.txt,.txt,high,16,content_phase:pass_0 | content_phase:Pass 0 | content_phase:pass_1 | content_phase:Pass 1 | content_phase:pass_2 | content_phase:Pass 2 | content_phase:pass_3 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART-3/GEM-MALEK-PHENIX/parallel_runs/kingmalek/kingmalek-md-readme-zip-afaf0136e9/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-4 RUNTIME-ARCHIVE/GEM-MALEK-PHENIX/parallel_runs/kingmalek/kingmalek-md-readme-zip-afaf0136e9/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-4 TESTS/runner/restart4-corrected-runner-c35d594f4c/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART-4/ANTHRO-SALOMON/SALOMON.composite-reference.py.txt,.txt,high,16,content_phase:pass_0 | content_phase:Pass 0 | content_phase:pass_1 | content_phase:Pass 1 | content_phase:pass_2 | content_phase:Pass 2 | content_phase:pass_3 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART/ANTHRO-SALOMON/SALOMON.composite-reference.py.txt,.txt,high,16,content_phase:pass_0 | content_phase:Pass 0 | content_phase:pass_1 | content_phase:Pass 1 | content_phase:pass_2 | content_phase:Pass 2 | content_phase:pass_3 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART/GEM-MALEK-PHENIX/parallel_runs/kingmalek/kingmalek-md-readme-zip-afaf0136e9/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes ROUND2 TESTS/kingmalek/round2-kingmalek-e9baa5535f/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes ROUND2 TESTS/runner/round2-runner-e9baa5535f/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes ROUND2/ANTHRO-SALOMON/SALOMON.composite-reference.py.txt,.txt,high,16,content_phase:pass_0 | content_phase:Pass 0 | content_phase:pass_1 | content_phase:Pass 1 | content_phase:pass_2 | content_phase:Pass 2 | content_phase:pass_3 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes ROUND2/GEM-MALEK-PHENIX/parallel_runs/kingmalek/kingmalek-md-readme-zip-afaf0136e9/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes/ANTHRO-SALOMON/SALOMON.composite-reference.py.txt,.txt,high,16,content_phase:pass_0 | content_phase:Pass 0 | content_phase:pass_1 | content_phase:Pass 1 | content_phase:pass_2 | content_phase:Pass 2 | content_phase:pass_3 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes/GEM-MALEK-PHENIX/parallel_runs/kingmalek/kingmalek-md-readme-zip-afaf0136e9/parallel_script_recalibration.md,.md,high,16,content_phase:pass_0 | content_phase:pass_1 | content_phase:pass_2 | content_phase:pass_3 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-2/GEM-MALEK-PHENIX/debug_runs/kingmalek/debug-kingmalek-smoke-16a6b2387f/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-2/GEM-MALEK-PHENIX/parallel_runs/kingmalek-wrapper/parallel-kingmalek-wrapper-5861bc1349/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-2/README3.txt,.txt,high,10,"content:2026-03-10 | content:March 10, 2026 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3"
supporting-context,SCRIPTS/Paper outcomes RESTART-3/GEM-MALEK-PHENIX/debug_runs/kingmalek/debug-kingmalek-smoke-16a6b2387f/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-3/GEM-MALEK-PHENIX/parallel_runs/kingmalek-wrapper/parallel-kingmalek-wrapper-5861bc1349/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-3/README3.txt,.txt,high,10,"content:2026-03-10 | content:March 10, 2026 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3"
supporting-context,SCRIPTS/Paper outcomes RESTART-4 RUNTIME-ARCHIVE/GEM-MALEK-PHENIX/debug_runs/kingmalek/debug-kingmalek-smoke-16a6b2387f/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-4 RUNTIME-ARCHIVE/GEM-MALEK-PHENIX/parallel_runs/kingmalek-wrapper/parallel-kingmalek-wrapper-5861bc1349/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART-4/README3.txt,.txt,high,10,content:2026-03-10 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART/GEM-MALEK-PHENIX/debug_runs/kingmalek/debug-kingmalek-smoke-16a6b2387f/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART/GEM-MALEK-PHENIX/parallel_runs/kingmalek-wrapper/parallel-kingmalek-wrapper-5861bc1349/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes RESTART/README3.txt,.txt,high,10,"content:2026-03-10 | content:March 10, 2026 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3"
supporting-context,SCRIPTS/Paper outcomes ROUND2/GEM-MALEK-PHENIX/debug_runs/kingmalek/debug-kingmalek-smoke-16a6b2387f/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes ROUND2/GEM-MALEK-PHENIX/parallel_runs/kingmalek-wrapper/parallel-kingmalek-wrapper-5861bc1349/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes/GEM-MALEK-PHENIX/debug_runs/kingmalek/debug-kingmalek-smoke-16a6b2387f/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,SCRIPTS/Paper outcomes/GEM-MALEK-PHENIX/parallel_runs/kingmalek-wrapper/parallel-kingmalek-wrapper-5861bc1349/parallel_script_recalibration.md,.md,high,10,content_phase:pass_0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3 | content_phase:Pass 0
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/05_layer-5-versioned-packet/versioned-packet-and-change-log.md,.md,high,8,path_phase:layer-5 | content_phase:v1 | content_phase:v2 | content_phase:v3
supporting-context,SCRIPTS/Paper outcomes RESTART-4/GEM-MALEK-PHENIX/README1.txt,.txt,high,8,content:2026-03-10 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes ROUND2/README3.txt,.txt,high,8,"content:March 10, 2026 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3"
supporting-context,SCRIPTS/Paper outcomes/README3.txt,.txt,high,8,"content:March 10, 2026 | content_phase:Pass 0 | content_phase:Pass 1 | content_phase:Pass 2 | content_phase:Pass 3"
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/01_layer-1-evidence/evidence-packet.md,.md,high,6,path_phase:layer-1 | content_phase:Phase 1 | content_phase:Phase 2
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/01_layer-1-evidence/source-function-ledger.md,.md,high,6,path_phase:layer-1 | content_phase:Phase 1 | content_phase:Phase 2
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/04_layer-4-alignment-gate/alignment-gate-package.md,.md,high,6,path_phase:layer-4 | content_phase:Phase 1 | content_phase:Phase 2
supporting-context,SCRIPTS/Paper outcomes RESTART-2/ANTHRO-SALOMON/README2.txt,.txt,high,6,"content:2026-03-10 | content:March 10, 2026 | content_phase:Pass 1 | content_phase:Pass 3"
supporting-context,SCRIPTS/Paper outcomes RESTART-3/ANTHRO-SALOMON/README2.txt,.txt,high,6,"content:2026-03-10 | content:March 10, 2026 | content_phase:Pass 1 | content_phase:Pass 3"
supporting-context,SCRIPTS/Paper outcomes RESTART-4/ANTHRO-SALOMON/README2.txt,.txt,high,6,content:2026-03-10 | content_phase:Pass 1 | content_phase:Pass 3
supporting-context,SCRIPTS/Paper outcomes RESTART/ANTHRO-SALOMON/README2.txt,.txt,high,6,"content:2026-03-10 | content:March 10, 2026 | content_phase:Pass 1 | content_phase:Pass 3"
supporting-context,RECURSO/METAMETADATA/CONSOLIDATED-PACK.txt,.txt,medium,4,content_phase:v3 | content_phase:v4
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RECURSIVE VOICE-PHASE1_mathematical_analysis.md,.md,medium,4,path_phase:PHASE1 | content_phase:PHASE1
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RECURSIVE VOICE-PHASE1_state_model.md,.md,medium,4,path_phase:PHASE1 | content_phase:PHASE1
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/00_layer-0-root/README.md,.md,medium,4,path_phase:layer-0 | content_phase:Layer 0
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/01_layer-1-evidence/README.md,.md,medium,4,path_phase:layer-1 | content_phase:Layer 1
supporting-context,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/02_layer-2-compression/README.md,.md,medium,4,path_phase:layer-2 | content_phase:Layer 2
