bucket,decision,score,relative_path,absolute_path,ext,size_bytes,reasons
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso.docx,.docx,211430,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_cleaned.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_cleaned.docx,.docx,49156,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_completed_clean.docx,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_completed_clean.docx,.docx,32903,anchor-term:recurso|source-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/AI GOV CONSTITUTION (1).pdf,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/AI GOV CONSTITUTION (1).pdf,.pdf,138572,anchor-term:constitution|source-format|source-path:governance-authority
A,take-into-timeline,10,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY Voice Spec v3 OFFICIAL (2).pdf,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY Voice Spec v3 OFFICIAL (2).pdf,.pdf,150304,anchor-term:governance|source-format|source-path:governance-authority
A,take-into-timeline,10,RECURSO/METAMETADATA/ai_governance_deliverables_package/MASTER_KEY.odt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/MASTER_KEY.odt,.odt,54130,anchor-term:governance|source-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/12-agent-cleaning-pass.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/12-agent-cleaning-pass.txt,.txt,2071,anchor-term:pass|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/7-reviewer-protocol-debate.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/7-reviewer-protocol-debate.txt,.txt,4607,anchor-term:protocol|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/7-subagent-expansion-pass.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/7-subagent-expansion-pass.txt,.txt,2265,anchor-term:pass|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 0.0 NOTES PX3 Explainer.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 0.0 NOTES PX3 Explainer.txt,.txt,2440,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 0.0 NOTES PX3 Explainer_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 0.0 NOTES PX3 Explainer_cleaned.txt,.txt,2054,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 3.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 3.txt,.txt,1876,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 3_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC 3_cleaned.txt,.txt,1847,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC0.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC0.txt,.txt,3817,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC0_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/DOC0_cleaned.txt,.txt,2685,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/Doc4.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/Doc4.txt,.txt,478,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MAIN EXPLAIN.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MAIN EXPLAIN.txt,.txt,11554,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MAIN EXPLAIN_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/MAIN EXPLAIN_cleaned.txt,.txt,2963,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/NOTES PX3 Explainer.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/NOTES PX3 Explainer.txt,.txt,2125,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/NOTES PX3 Explainer_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/NOTES PX3 Explainer_cleaned.txt,.txt,1355,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (2).md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/RECURSO-DRAFT1 (1) (2).md,.md,65379,anchor-term:draft|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 1.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 1.txt,.txt,171,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 1_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 1_cleaned.txt,.txt,633,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 2.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 2.txt,.txt,619,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 2_cleaned.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/doc 2_cleaned.txt,.txt,956,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Governance by Denial How Legibility.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Governance by Denial How Legibility.txt,.txt,59379,anchor-term:governance|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Mod.1-Algorythmic Biais ans Surveillance.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/pack 1-2-3/Mod.1-Algorythmic Biais ans Surveillance.txt,.txt,94227,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_completed_9000_clean.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso (1)_completed_9000_clean.txt,.txt,63018,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_completed_9000_clean.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/RAW RECURSIVE DATA/RECURSUS/recurso_completed_9000_clean.txt,.txt,63018,anchor-term:recurso|narrative-format|source-path:RAW RECURSIVE DATA/RECURSUS
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP VOCAB.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP VOCAB.txt,.txt,0,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP WF.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP WF.txt,.txt,10188,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY APP.txt,.txt,10188,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY WF Sum.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY WF Sum.txt,.txt,4031,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY WK SocialStudies.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY WK SocialStudies.txt,.txt,8359,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY voice CODE.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/HENRY voice CODE.txt,.txt,16413,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/Henry.txt,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/HENRY/Henry.txt,.txt,8503,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/README.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/METADATA/1.ChatGPT-AgathaAgent/recurso-AG_layered_structure/governance-authority/README.md,.md,337,anchor-term:governance|narrative-format|source-path:governance-authority
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/00_README.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/00_README.md,.md,2042,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/01_Project_Brief.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/01_Project_Brief.md,.md,2916,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/03_Concept_Note_Package.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/03_Concept_Note_Package.md,.md,3701,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/04_Research_Blueprint_and_Deviation_Memo.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/04_Research_Blueprint_and_Deviation_Memo.md,.md,1679,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/05_Alignment_Gate_Package.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/05_Alignment_Gate_Package.md,.md,1493,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/06_Versioned_Packet_and_Change_Log.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/06_Versioned_Packet_and_Change_Log.md,.md,1351,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/07_Stabilizer_QA_Package.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/07_Stabilizer_QA_Package.md,.md,1682,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/08_Incident_and_Drift_Protocol.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/08_Incident_and_Drift_Protocol.md,.md,1907,anchor-term:protocol|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
A,take-into-timeline,8,RECURSO/METAMETADATA/ai_governance_deliverables_package/09_Field_Map_Package.md,/mnt/c/Users/softinfo/Desktop/Nouveau dossier (3)/RECURSO/METAMETADATA/ai_governance_deliverables_package/09_Field_Map_Package.md,.md,2406,anchor-term:governance|narrative-format|source-path:METAMETADATA/ai_governance_deliverables_package
